Numero de mesure;Longitude;Latitude;Position;Insee;Adresse;Complement;Code postal;Commune;Date de mesure;Mesure realisee;Rapport;Conformite de la mesure;Niveau global;Type d'environnement;Laboratoire
12896;3.87139;43.56028;03e 52' 17.00'' Est, 43e 33' 37.00'' Nord;34129;10 Rue Mail;Quartier Maurin, rue Mail, sur le parking, en face du ne10;34970;LATTES;25/01/2008;En exterieur;FicheMesure12896.pdf;Oui;1.73;Rue / Route / Parking;AEXPERTISE
12897;3.90639;43.57111;03e 54' 23.00'' Est, 43e 34' 16.00'' Nord;34129;74 Impasse de l'Agau;Impasse de l'Agau, devant le ne74;34970;LATTES;29/01/2008;En exterieur;FicheMesure12897.pdf;Oui;2.17;Rue / Route / Parking;AEXPERTISE
12898;3.90722;43.56750;03e 54' 26.00'' Est, 43e 34' 03.00'' Nord;34129;Avenue de Perols;Dans le stade, devant les vestiaires;34970;LATTES;25/01/2008;En exterieur;FicheMesure12898.pdf;Oui;0.55;Divers;AEXPERTISE
12899;3.91806;43.56583;03e 55' 05.00'' Est, 43e 33' 57.00'' Nord;34129;Route de Perols; Complexe sportif de Fangouse, devant le courts ne8 ;34970;LATTES;25/01/2008;En exterieur;FicheMesure12899.pdf;Oui;0.64;Rue / Route / Parking;AEXPERTISE
13119;3.50306;43.65250;03e 30' 11.00'' Est, 43e 39' 09.00'' Nord;34239;Avenue Leonce Gabaudan;Cheteau d'eau, sur le palier,  en bas de l'�chelle Resoll ;34725;SAINT-ANDRE-DE-SANGONIS;03/03/2008;En exterieur;FicheMesure13119.pdf;Oui;1.15;Locaux professionnels non accessibles au public;AEXPERTISE
13120;3.50417;43.65278;03e 30' 15.00'' Est, 43e 39' 10.00'' Nord;34239;Avenue Leonce Gabaudan;Devant le ne2;34725;SAINT-ANDRE-DE-SANGONIS;03/03/2008;En exterieur;FicheMesure13120.pdf;Oui;0.56;Rue / Route / Parking;AEXPERTISE
13121;3.50083;43.65333;03e 30' 03.00'' Est, 43e 39' 12.00'' Nord;34239;Rue Pierre de Coubertin;Complexe sportif Raymond Boisset, sur le parking;34725;SAINT-ANDRE-DE-SANGONIS;03/03/2008;En exterieur;FicheMesure13121.pdf;Oui;0.70;Rue / Route / Parking;AEXPERTISE
13491;3.07639;43.50972;03e 04' 35.00'' Est, 43e 30' 35.00'' Nord;34279;Rue du Barry Haut;A l'angle de la rue du Barry Haut et du chemin de la Vernede;34490;SAINT-NAZAIRE-DE-LADAREZ;21/04/2008;En exterieur;FicheMesure13491.pdf;Oui;0.35;Rue / Route / Parking;AEXPERTISE
13553;3.85333;43.59083;03e 51' 12.00'' Est, 43e 35' 27.00'' Nord;34172;3200 Boulevard Paul Valery;Entre la porte Studio M et la chaufferie de l'�cole Studio M;34070;MONTPELLIER;19/05/2008;En exterieur;FicheMesure13553.pdf;Oui;0.56;Rue / Route / Parking;AEXPERTISE
13554;3.85278;43.59000;03e 51' 10.00'' Est, 43e 35' 24.00'' Nord;34172;3200 Boulevard Paul Valery;Au fond du parking arriere de l'�cole Studio M;34070;MONTPELLIER;19/05/2008;En exterieur;FicheMesure13554.pdf;Oui;0.52;Rue / Route / Parking;AEXPERTISE
13555;3.85444;43.59111;03e 51' 16.00'' Est, 43e 35' 28.00'' Nord;34172;3200 Boulevard Paul Valery;A cete du portail de l'entree de l'�cole Studio M;34070;MONTPELLIER;19/05/2008;En exterieur;FicheMesure13555.pdf;Oui;0.38;Rue / Route / Parking;AEXPERTISE
13556;3.87778;43.62972;03e 52' 40.00'' Est, 43e 37' 47.00'' Nord;34172;Rue Cyrano de Bergerac;A l'entree de la copropriet�, sur le parking de la Residence Clolus III;34090;MONTPELLIER;20/05/2008;En exterieur;FicheMesure13556.pdf;Oui;1.07;Rue / Route / Parking;AEXPERTISE
13557;3.88028;43.62889;03e 52' 49.00'' Est, 43e 37' 44.00'' Nord;34172;Rue des Grives;Devant le ne1;34090;MONTPELLIER;20/05/2008;En exterieur;FicheMesure13557.pdf;Oui;0.86;Rue / Route / Parking;AEXPERTISE
